training size : 60000
validation size : 10000
Epoch [1/20], Loss: 0.0810, Val Loss: 0.059694
Epoch [2/20], Loss: 0.0589, Val Loss: 0.059757
Epoch [3/20], Loss: 0.0522, Val Loss: 0.057643
Epoch [4/20], Loss: 0.0499, Val Loss: 0.058618
Epoch [5/20], Loss: 0.0509, Val Loss: 0.048938
Epoch [6/20], Loss: 0.0429, Val Loss: 0.040461
Epoch [7/20], Loss: 0.0432, Val Loss: 0.064841
Epoch [8/20], Loss: 0.0560, Val Loss: 0.052677
Epoch [9/20], Loss: 0.0434, Val Loss: 0.046701
Epoch [10/20], Loss: 0.0435, Val Loss: 0.045621
Epoch [11/20], Loss: 0.0398, Val Loss: 0.045380
Epoch [12/20], Loss: 0.0411, Val Loss: 0.044845
Epoch [13/20], Loss: 0.0408, Val Loss: 0.042861
Epoch [14/20], Loss: 0.0392, Val Loss: 0.037872
Epoch [15/20], Loss: 0.0355, Val Loss: 0.035595
Epoch [16/20], Loss: 0.0331, Val Loss: 0.034514
Epoch [17/20], Loss: 0.0324, Val Loss: 0.033101
Epoch [18/20], Loss: 0.0309, Val Loss: 0.031347
Epoch [19/20], Loss: 0.0285, Val Loss: 0.031084
Epoch [20/20], Loss: 0.0295, Val Loss: 0.034017
